File,Procurement Instrument Identifier,Modification Number,Referenced PIID,Transaction Number,Solicitation Identifier,Agency Identifier,Referenced IDV Modification Number,Referenced IDV Agency Identifier,Date Signed,Effective Date,Current Completion Date,Ultimate Completion Date,IDV Last Date to Order,Date/Time Stamp Accepted,Base And All Options Value,Base And Exercised Options Value,Action Obligation,Total Action Obligation,Total Base And Exercised Options Value,Contracting Office Agency Name,Contracting Office Code,Program/Funding Agency Code,Program/Funding Office Code,Foreign Funding,Source UserID,Web Site URL,Who Can Use,Maximum Order Limit,Fee for Use of Service,Fixed Fee Value,Fee Range Lower Value,Fee Range Upper Value,Ordering Procedure,Fee Paid for Use of IDV,Type of Contract,Undefinitized Action,Multi Year Contract,Type of IDC,Major Program,"Contingency, Humanitarian, or Peacekeeping Operation",Cost or Pricing Data,Contract Financing,Cost Accounting Standards Clause,Purchase Card as Payment Method,Program Acronym,Number of Actions,National Interest Action,Product/Service Code,Product/Service Description,"Program, System, or Equipment Code",DoD Claimant Program Code,Information Technology Commercial Item Category,DUNS Number,Contractor Name,Principal Place of Performance State,Principal Place of Performance Location,Principal Place of Performance Country,Principal Place of Performance Name,Country of Product or Service Origin,Congressional District - Contractor,Congressional District - Place of Performance,Place of Manufacture,Place Of Performance Zip Code,Place Of Performance Zip Code Extension
fpds_content_178.html,91990024C0038,P00001,,0,,9100,,,2025-02-04,2024-09-01,2025-02-04,2025-02-04,2024-07-24,2025-02-04 12:15:53,0.0,0.0,0.0,1002504.96,1002504.96,"EDUCATION, DEPARTMENT OF",919900,9100,910060,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R699,SUPPORT- ADMINISTRATIVE: OTHER,,,,,,DC,,USA,WASHINGTON,USA,,,,20202,0002
fpds_content_482.html,70RDAD23A00000002,P00004,,,70RDAD22Q00000097,7001,PA0038,4732,2025-01-28,2023-01-09,,,,2025-01-28 13:32:42,0.0,0.0,0.0,0.0,0.0,OFFICE OF PROCUREMENT OPERATIONS,70RDA2,7056,70EFU1,,,,,0,,,,,,0,,,,,"OCFO, PA&E EVALUATION SERVICES",,,,,,,,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,,,,,,,,,,
fpds_content_528.html,86615124F00019,P00001,,0,,8600,0,8600,2025-01-24,2024-09-30,2025-09-29,2027-09-29,2024-09-25,2025-01-24 17:32:58,0.0,0.0,0.0,1000000.0,1274590.69,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",866146,8600,864737,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R703,SUPPORT- MANAGEMENT: ACCOUNTING,,,,,,DC,,USA,WASHINGTON,USA,,,,20001,0001
fpds_content_601.html,693JK323P00021,P00003,,0,,6957,,,2025-02-12,2023-06-15,2024-06-14,2024-06-14,,2025-02-12 17:04:43,0.0,0.0,0.0,18770.0,18770.0,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,693JK3,6957,693JK3,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,7630,NEWSPAPERS AND PERIODICALS,,,,,,VA,,USA,ARLINGTON,USA,,,,22209,3927
fpds_content_251.html,91990022F0051,P00003,,0,,9100,0,9100,2025-02-10,2022-09-27,2025-02-10,2025-09-30,2022-08-04,2025-02-10 16:19:12,0.0,0.0,0.0,2717834.0,2717834.0,"EDUCATION, DEPARTMENT OF",919900,9100,919910,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,DC,,USA,WASHINGTON,USA,,,,20202,0002
fpds_content_744.html,68HERH24P0143,P00002,,0,68HERH24Q0042,6800,,,2025-02-07,2024-05-23,2025-01-22,2025-01-22,2024-03-22,2025-02-07 17:30:29,0.0,0.0,0.0,180000.0,180000.0,ENVIRONMENTAL PROTECTION AGENCY,68HERH,6800,68L000,,,,,0,,0.0,0.0,0.0,,0,,,,,DIVERSITY EQUITY INCLUSION & ACCESSIBILITY (DEIA) CONSULTING SERVICES,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,NC,,USA,DURHAM,USA,,,,27713,0001
fpds_content_314.html,75F40125F19013,P00001,,0,,7524,P00002,7524,2025-02-05,2025-01-02,2026-01-14,2029-01-14,2024-12-11,2025-02-05 18:12:18,0.0,0.0,0.0,146943.85,146943.85,FOOD AND DRUG ADMINISTRATION,75F401,7524,75F401,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R799,SUPPORT- MANAGEMENT: OTHER,,,,,,MD,,USA,SILVER SPRING,USA,,,,20993,0002
fpds_content_882.html,7200AA22N00007,P00028,,0,7200AA22R00070,7200,0,4732,2025-01-31,2022-09-30,2028-09-29,2029-03-29,2022-05-19,2025-02-12 16:40:34,0.0,1070157.92,1200000.0,37617361.92,47828768.74,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200AA,7200,72000M,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,,,,,,VA,,USA,ARLINGTON,USA,,,,22209,1800
fpds_content_928.html,72036722N00001,P00004,,0,72036721R00006,7200,PA0001ADDRESSCHG,4732,2024-12-13,2022-09-29,2027-10-10,2027-10-10,2021-11-22,2025-01-31 12:53:56,5992362.0,5992362.0,5600000.0,16452026.0,25975892.0,AGENCY FOR INTERNATIONAL DEVELOPMENT,720367,7200,720DD1,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,,,NPL,NEPAL,NPL,,,,,
fpds_content_181.html,91990022C0024,P00005,,0,91990022R0031,9100,,,2025-02-07,2022-04-03,2025-02-07,2027-04-02,2022-03-23,2025-02-07 14:28:08,0.0,0.0,0.0,2658781.08,2658781.08,"EDUCATION, DEPARTMENT OF",919900,9100,919900,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,,,,,,DC,,USA,WASHINGTON,USA,,,,20202,0002
fpds_content_494.html,70FA4022F00000369,P00004,,0,,7022,P00003,7022,2025-02-06,2022-09-26,2025-09-25,2027-09-25,2022-09-15,2025-02-06 12:59:31,0.0,0.0,0.0,2309794.38,2309794.38,FEDERAL EMERGENCY MANAGEMENT AGENCY,70FA40,7022,70FPER,,,,,0,,0.0,0.0,0.0,,0,,,,,COMMUNICATION AND SERVICES (CAS),,,,,,,1,,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING,,,,,,DC,,USA,WASHINGTON,USA,,,,20472,0001
fpds_content_247.html,91990021F0368,P00003,,0,,9100,0,9100,2025-02-10,2021-09-22,2025-02-10,2025-02-10,2021-07-27,2025-02-10 14:33:11,0.0,0.0,0.0,500000.0,500000.0,"EDUCATION, DEPARTMENT OF",919900,9100,910039,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,,,,,,DC,,USA,WASHINGTON,USA,,,,20202,0002
fpds_content_617.html,693JK424C600005,0,,0,,6901,,,2024-08-28,2024-08-26,2025-08-26,2029-08-25,2024-08-15,2024-08-29 11:33:22,265512.21,50000.0,50000.0,0.0,0.0,OFFICE OF THE SECRETARY,693JK4,6901,693JK6,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R418,SUPPORT- PROFESSIONAL: LEGAL,,,,,,DC,,USA,WASHINGTON,USA,,,,20590,0001
fpds_content_7.html,9531CB20F0046,P00008,,0,,955F,0,0300,2025-02-10,2020-02-29,2025-02-10,2025-02-10,,2025-02-10 12:14:31,0.0,0.0,0.0,245616.0,245616.0,CONSUMER FINANCIAL PROTECTION BUREAU,9531CB,955F,9531CB,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,7630,NEWSPAPERS AND PERIODICALS,,,,,,DC,,USA,WASHINGTON,USA,,,,20006,4061
fpds_content_302.html,75ACF123F80057,P00002,,0,75ACF123Q00063,7590,PA0014,4732,2025-01-23,2023-09-30,2027-09-29,2027-09-29,2023-08-22,2025-01-23 13:49:43,0.0,0.0,0.0,1064155.0,1064155.0,ADMINISTRATION FOR CHILDREN AND FAMILIES,75ACF1,7590,759001,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R410,SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT,,,,,,DC,,USA,WASHINGTON,USA,,,,20002,4893
fpds_content_752.html,89303024PED000058,0,,0,,8900,,,2024-02-27,2024-02-27,2025-04-30,2025-04-30,,2024-02-27 13:20:23,29040.0,29040.0,29040.0,0.0,0.0,"ENERGY, DEPARTMENT OF",893030,8900,893005,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,7630,NEWSPAPERS AND PERIODICALS,,,,,,VA,,USA,ARLINGTON,USA,,,,22209,1800
fpds_content_586.html,19AQMM22F7750,P00004,,0,,1900,0,1900,2025-02-05,2022-09-30,2025-09-25,2025-09-25,,2025-02-05 17:46:34,0.0,0.0,0.0,256194.21,256194.21,"STATE, DEPARTMENT OF",19AQMM,1900,19XPRM,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,,,,,,VA,,USA,ARLINGTON,USA,,,,22209,1742
fpds_content_990.html,7200AA22N00008,P00009,,0,7200AA22R00072,7200,PA0003,4732,2024-12-17,2022-09-29,2025-09-30,2027-09-30,2022-05-25,2025-01-10 18:43:38,0.0,-4872286.0,0.0,15156284.46,22792457.0,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200AA,7200,7200AA,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,U009,EDUCATION/TRAINING- GENERAL,,,,,,DC,,USA,WASHINGTON,USA,,,,20005,2236
fpds_content_139.html,1333BJ23F00152001,P25002,,0,,1344,0,4732,2024-12-11,2023-07-25,2029-01-24,2029-01-24,2023-05-25,2024-12-18 15:15:08,0.0,0.0,0.0,976693.58,976693.58,US PATENT AND TRADEMARK OFFICE,1333BJ,1344,1333BJ,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,,,,,,DC,,USA,WASHINGTON,USA,,,,20036,2657
fpds_content_569.html,19AQMM24P0724,P00001,,0,,1900,,,2025-02-13,2024-08-01,2025-07-31,2025-07-31,,2025-02-13 12:42:07,0.0,0.0,0.0,141816.0,141816.0,"STATE, DEPARTMENT OF",19AQMM,1900,19XS00,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),,,,,,DC,,USA,WASHINGTON,USA,,,,20520,0001
fpds_content_640.html,693JK324F00035N,P00001,,0,,6957,0,6957,2024-12-18,2024-09-27,2025-02-03,2025-09-26,,2024-12-18 19:39:19,0.0,0.0,0.0,18832.0,18832.0,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,693JK3,6957,693JK3,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R699,SUPPORT- ADMINISTRATIVE: OTHER,,,,,,VA,,USA,MCLEAN,USA,,,,22102,3470
fpds_content_210.html,91990021C0052,P00006,,0,91990021Q0042,9100,,,2025-02-10,2021-09-28,2025-02-10,2025-02-10,2021-08-10,2025-02-10 17:59:48,0.0,0.0,0.0,3820678.0,3820678.0,"EDUCATION, DEPARTMENT OF",919900,9100,910039,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,AF11,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVCS R&D SVCS; EDUCATION SVCS R&D; BASIC RESEARCH",,,,,,DC,,USA,WASHINGTON,USA,,,,20002,0002
fpds_content_705.html,140M0121P0036,P00004,,0,140M0121Q0051,1435,,,2025-02-13,2021-10-01,2025-09-30,2026-09-30,2021-08-24,2025-02-13 14:26:04,0.0,0.0,0.0,56975.0,56975.0,BUREAU OF OCEAN ENERGY MANAGEMENT,140M01,1435,140M01,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,,,,,,VA,,USA,ARLINGTON,USA,,,,22209,3927
fpds_content_355.html,75D30124P19681,P00001,,0,75D301-24-Q-78217,7523,,,2024-12-11,2024-08-27,2025-09-29,2025-09-29,2024-07-09,2024-12-11 16:08:39,0.0,0.0,0.0,105610.72,105610.72,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,7523,75D301,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,,,,,,GA,,USA,ATLANTA,USA,,,,30341,3717
fpds_content_841.html,05GA0A22P0013,P00002,,0,05GA0A22Q0064,0559,,,2024-08-20,2022-09-30,2025-09-29,2027-09-29,2022-09-02,2024-08-20 10:22:49,0.0,89244.96,89244.96,250601.46,250601.46,"GAO, EXCEPT COMPTROLLER GENERAL",05GA0A,0559,050ARM,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R422,SUPPORT- PROFESSIONAL: MARKET RESEARCH/PUBLIC OPINION,,,,,,VA,,USA,ARLINGTON,USA,,,,22209,3927
fpds_content_142.html,1333BJ22F00054002,P25008,,0,,1344,P25005,1344,2025-01-31,2021-12-01,2025-11-30,2026-11-30,,2025-02-19 15:07:05,0.0,0.0,0.0,198542.91,198542.91,US PATENT AND TRADEMARK OFFICE,1333BJ,1344,1333BJ,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,U099,EDUCATION/TRAINING- OTHER,,,,,,PA,,USA,MECHANICSBURG,USA,,,,17055,7801
fpds_content_512.html,70RTAC24FC0000012,P00004,,0,RFQ Email,7001,P00014,7001,2024-09-20,2024-03-20,2025-03-19,2026-03-19,2024-03-15,2024-09-20 10:37:31,414552.48,138184.16,138184.16,1716620.78,1945121.38,OFFICE OF PROCUREMENT OPERATIONS,70RTAC,7058,70JTE1,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),,,,,,VA,,USA,ALEXANDRIA,USA,,,,22310,2336
fpds_content_457.html,75D30123C16117,P00001,,0,75D301-23-R-72601,7523,,,2023-06-26,2023-04-04,2024-03-27,2026-03-27,2023-03-14,2023-06-26 13:42:12,0.0,0.0,0.0,2925383.84,2925383.84,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,7523,75D301,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,GA,,USA,ATLANTA,USA,,,,30341,5507
fpds_content_904.html,7200AA22M00007,P00002,,0,7200AA22R00101,7200,0,4732,2024-08-22,2022-09-29,2025-09-28,2027-09-28,2022-07-25,2024-08-22 09:59:57,0.0,708628.15,320786.0,1430786.0,2243522.17,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200AA,7200,72C0T1,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,DC,,USA,WASHINGTON,USA,,,,20547,0001
fpds_content_284.html,89243423FEE000303,P00002,,0,,8900,P00003,8900,2024-06-28,2022-12-07,2027-11-08,2027-11-08,2022-09-21,2025-01-21 14:05:01,0.0,-98841.31,-98841.31,205401.89,205401.89,"ENERGY, DEPARTMENT OF",892434,8900,892403,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R699,SUPPORT- ADMINISTRATIVE: OTHER,,,,,,CO,,USA,GOLDEN,USA,,,,80401,0021
fpds_content_1020.html,7200AA18M00014,P00030,,0,,7200,PA0004,4732,2025-01-18,2018-08-13,2025-08-14,2025-08-14,,2025-02-14 16:42:40,0.0,0.0,3000000.0,41388123.36,95490240.0,AGENCY FOR INTERNATIONAL DEVELOPMENT,7200AA,7200,720294,,,,,0,,0.0,0.0,0.0,,0,,,,,GOVERNANCE INTEGRATION FOR STABILIZATION AND RESILIENCE IN MENA (GISR MENA),,,,,,,1,,AQ93,R&D- SOCIAL SERVICES: OTHER (ADVANCED DEVELOPMENT),,,,,,,,XWB,WEST BANK,TUN,,,,,
fpds_content_66.html,12318723F0650,P00006,,0,,12C2,P00005,12C2,2025-02-12,2023-09-28,2025-09-27,2028-09-27,2023-08-02,2025-02-12 20:12:34,0.0,0.0,0.0,461050.0,493000.0,FOREST SERVICE,123187,12C2,123187,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,,,,,,GA,,USA,DUBLIN,USA,,,,31021,6172
fpds_content_89.html,12318723C0016,P00001,,0,12318723Q0565,12C2,,,2024-05-13,2023-09-30,2028-09-29,2028-09-29,2023-08-16,2024-05-13 17:58:20,0.0,286389.68,286389.68,563092.02,563092.02,FOREST SERVICE,123187,12C2,123187,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,DC,,USA,WASHINGTON,USA,,,,20250,1138
fpds_content_791.html,47HAA024F0083,PS0002,,0,,4773,PO0007,4773,2024-09-27,2024-05-15,2025-06-30,2026-06-30,2024-04-15,2024-09-27 16:54:42,0.0,14829.91,14829.91,184439.61,184439.61,OFFICE OF ADMINISTRATIVE SERVICES,47HAA0,4770,47CN00,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,DC,,USA,WASHINGTON,USA,,,,20405,0001
fpds_content_545.html,86615123F00005,P00002,,0,86615123Q00003,8600,P00006,8600,2024-08-05,2023-03-31,2025-03-30,2026-03-30,2023-01-06,2024-08-05 12:28:04,-770573.92,-770573.92,-770573.92,3362643.7,3362643.7,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",866151,8600,865684,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,,,,,,VA,,USA,ARLINGTON,USA,,,,22209,1742
fpds_content_115.html,1333BJ23F00220001,P25007,,0,1333BJ23Q00220001,1344,PA0008,4732,2025-02-10,2023-03-20,2026-03-19,2028-03-19,2023-02-16,2025-02-19 12:54:46,-575607.1,-575607.1,-575607.1,1352304.5,1352304.5,US PATENT AND TRADEMARK OFFICE,1333BJ,1344,1333BJ,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),,,,,,WI,,USA,MILWAUKEE,USA,,,,53202,4205
fpds_content_816.html,47QPCA24F0054,0,,0,47QPCA24Q0060,4732,P00004,4732,2024-08-23,2024-09-02,2025-09-01,2027-09-01,2024-08-16,2024-08-23 22:01:02,2169217.74,600714.2,598614.12,0.0,0.0,FEDERAL ACQUISITION SERVICE,47QPCA,4732,47QPCL,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,R499,SUPPORT- PROFESSIONAL: OTHER,,,,,,VA,,USA,RESTON,USA,,,,20190,5950
fpds_content_953.html,72066922F00009,P00004,,0,,7200,0,7200,2024-12-02,2022-09-26,2025-09-25,2025-09-25,2022-07-12,2024-12-12 15:11:49,0.0,0.0,0.0,2984332.0,2984332.0,AGENCY FOR INTERNATIONAL DEVELOPMENT,720669,7200,720669,,,,,0,,0.0,0.0,0.0,,0,,,,,EG: USAID/LIBERIA ARCHITECTURE AND ENGINEERING (A&E) SERVICES ACTIVITY.,,,,,,,1,,C1AZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER ADMINISTRATIVE FACILITIES/SERVICE BUILDINGS,,,,,,,,LBR,LIBERIA,LBR,,,,,
fpds_content_400.html,75D30122P15204,P00003,,0,75D301-22-Q-75355,7523,,,2024-07-06,2022-09-05,2025-09-04,2025-09-04,2022-08-08,2025-02-19 11:59:37,0.0,0.0,0.0,257518.32,257518.32,CENTERS FOR DISEASE CONTROL AND PREVENTION,75D301,7523,75D301,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,B537,SPECIAL STUDIES/ANALYSIS- MEDICAL/HEALTH,,,,,,NY,,USA,BROOKLYN,USA,,,,11201,5431
fpds_content_31.html,12314424P0141,P00001,,0,,1205,,,2025-02-05,2024-09-30,2025-02-05,2025-09-22,,2025-02-05 17:46:29,0.0,0.0,0.0,15325.33,15325.33,"USDA, DEPARTMENTAL ADMINISTRATION",123144,1201,121201,,,,,0,,0.0,0.0,0.0,,0,,,,,,,,,,,,1,,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,,,,,,VA,,USA,ARLINGTON,USA,,,,22209,3927
